,Unnamed: 0,TD3_det_agent,TD3_stoc_agent
0,0,-712.5480327372554,-823.3078943736821
1,1,-771.0548874436238,-619.3352162827687
2,2,-782.5836248124887,-605.3527960931608
3,3,-750.6408289889303,-697.5271485473162
4,4,-791.9314710855525,-679.6884638779865
5,5,-631.2763689663625,-716.675358480448
6,6,-824.2173698103453,-772.0421043642343
7,7,-811.9370352976988,-482.2473327677791
8,8,-659.8591959852765,-684.0250080583114
9,9,-681.5513967409618,-777.9312907640134
10,10,-694.2122870125515,-658.8801196944725
11,11,-795.0322018085739,-514.2474965477602
12,12,-702.2292887007097,-794.4833793480105
13,13,-663.0243654813585,-766.3686277467378
14,14,-3.3981725452249845,-567.423232593453
15,15,-762.0531367135736,-771.2257264742797
16,16,-537.9533232193403,-621.686835550407
17,17,-567.7478879918148,-685.6738226567904
18,18,-515.9453263200489,-592.1423172280113
19,19,-569.4052063691631,-635.7919525627639
20,20,-782.4109074354095,-648.2067633080514
21,21,-560.9907357326335,-674.1552839042495
22,22,-616.4565400954413,-597.5371001518238
23,23,-646.8848610400779,-649.3599253412509
24,24,-679.9896396288559,-503.09483838085424
25,25,-535.5693628678895,-695.6063386530041
26,26,-648.490524321579,-582.6203754808965
27,27,-438.75745265215056,-498.93381242033786
28,28,-1.7388172368089212,-578.0914349478837
29,29,-559.9719050299877,-412.99846348957385
30,30,-543.9182981501274,-521.4885296858282
31,31,-629.9768727565918,-493.59787696959376
32,32,-619.3964938013004,-554.4736055253134
33,33,-555.8039764763137,-503.7874921767479
34,34,-134.56987178346571,-1.899854455579631
35,35,-531.3428527766051,-489.07586933645524
36,36,-533.5056939159458,-278.06361480983355
37,37,-624.721888545051,-542.5495897229061
38,38,-607.8456225849179,-255.7233343803684
39,39,-128.4932890413986,-386.92207824992045
40,40,-386.98661965839096,-385.8550578753722
41,41,-264.3368166198422,-378.37744194287217
42,42,-514.5286687361911,-303.5961206905226
43,43,-520.5476391822597,-259.99021880375255
44,44,-391.4045738754369,-128.406705237739
45,45,-434.9372593753969,-533.9876467575352
46,46,-394.3365464515864,-251.57539669653937
47,47,-259.32365327140116,-259.4864393831199
48,48,-127.44075361802042,-382.88227149764754
49,49,-463.17062592308685,-250.205460944264
50,50,-387.9395894755755,-523.5838503547997
51,51,-265.34541217866337,-254.63075026243436
52,52,-347.87508094580613,-377.4364251306052
