,TD3_det_agent
0,-712.5480327372554
1,-771.0548874436237
2,-782.5836248124888
3,-750.6408289889303
4,-791.9314710855525
5,-631.2763689663625
6,-824.2173698103452
7,-811.9370352976989
8,-659.8591959852765
9,-681.5513967409618
10,-694.2122870125515
11,-795.0322018085739
12,-702.2292887007098
13,-663.0243654813585
14,-3.3981725452249845
15,-762.0531367135736
16,-537.9533232193403
17,-567.7478879918147
18,-515.9453263200489
19,-569.4052063691631
20,-782.4109074354095
21,-560.9907357326335
22,-616.4565400954413
23,-646.8848610400779
24,-679.9896396288559
25,-535.5693628678895
26,-648.490524321579
27,-438.75745265215056
28,-1.7388172368089212
29,-559.9719050299877
30,-543.9182981501274
31,-629.9768727565917
32,-619.3964938013004
33,-555.8039764763136
34,-134.5698717834657
35,-531.3428527766051
36,-533.5056939159458
37,-624.721888545051
38,-607.8456225849179
39,-128.4932890413986
40,-386.98661965839096
41,-264.3368166198422
42,-514.5286687361911
43,-520.5476391822597
44,-391.4045738754369
45,-434.9372593753969
46,-394.3365464515864
47,-259.3236532714012
48,-127.44075361802042
49,-463.1706259230869
50,-387.93958947557553
51,-265.34541217866337
52,-347.87508094580613
53,-509.4620006862722
54,-127.72706465966606
55,-258.8364133427893
56,-393.7801100653529
57,-2.3588133926106702
58,-256.91638243276924
59,-250.47865121160658
60,-245.88057487499043
61,-128.75557525271753
62,-386.823187616814
63,-131.17650371378215
64,-0.5149008000595722
65,-247.0373918477385
66,-2.922717468535443
67,-499.18350745590186
68,-510.6085640464682
69,-395.7268622853661
70,-263.4186029486657
71,-265.26485583983447
72,-127.67700620674711
73,-401.7988353360863
74,-126.9100988322713
75,-239.07912866160427
76,-125.70224234454774
77,-0.5887486150663417
78,-127.30928126922242
79,-243.37570414271406
80,-127.66825460913974
81,-390.2318053060191
82,-496.89567764072217
83,-128.86697612488916
84,-0.5428316062224965
85,-129.5797198693533
86,-0.5017826051428237
87,-372.4236615260781
88,-374.96295716601736
89,-127.92658698592932
90,-244.04185236058527
91,-125.31734127047163
92,-129.06541623886326
93,-263.88124070655823
94,-255.85938041313517
95,-131.25638958935085
96,-0.7011636504591083
97,-254.08422769079226
98,-247.92098356500227
99,-128.49404934562762
100,-129.7417316878055
101,-390.1940392431589
102,-243.12173232187806
103,-401.6773987841554
104,-126.60080507397647
105,-269.6705153953668
106,-252.54297934953513
107,-0.8018957247981346
108,-385.0495005312689
109,-255.92322045154094
110,-126.4875843179709
111,-244.76338138085808
112,-122.87683080320436
113,-129.81232295039382
114,-243.6450246832678
115,-483.23917550146575
116,-254.33869030921468
117,-127.9040648237639
118,-124.79519436404141
119,-123.20873075886125
120,-0.5709015313616567
121,-126.56112016065786
122,-372.8054868364019
123,-124.0155037915729
124,-126.81919566369704
125,-2.317887131391243
126,-279.496187711427
127,-126.12247678768985
128,-124.96035229201851
129,-131.54199302194868
130,-263.2145737105368
131,-128.1579225745087
132,-125.61854794169284
133,-375.52381250803575
134,-236.19997789866738
135,-285.963077821736
136,-128.4669653074018
137,-125.59138464164965
138,-129.2233484922686
139,-128.9518915065361
140,-392.3367592119625
141,-130.5856276975331
142,-391.0348461257403
143,-120.94995412139565
144,-127.0617665202004
145,-497.5876693384535
146,-242.9930179302356
147,-285.4076554056581
148,-0.8083614352756598
149,-420.8827885650577
150,-282.8726138179607
151,-370.11849130210123
152,-123.74940914113843
153,-0.9421399099939644
154,-373.4919675424023
155,-436.07479077514256
156,-255.2431422781794
157,-126.06136764675253
158,-371.50902526977114
159,-261.8040421185157
160,-1.3395548320574773
161,-496.1043825177396
162,-1.1239989821564416
163,-128.20268131188243
164,-388.0232390890488
165,-267.5574954944665
166,-394.3988700883512
167,-128.51350530371238
168,-259.56144328272876
169,-244.37736758946448
170,-129.56460280127718
171,-451.52854296343145
172,-339.97843161829553
173,-453.2246169289744
174,-128.38548318237267
175,-245.2818548168755
176,-254.09203235917445
177,-126.58131560488249
178,-508.20949153478057
179,-263.5372944059132
180,-453.342158893261
181,-130.4844156102811
182,-494.09753510919046
183,-254.98590038653856
184,-129.9228277669858
185,-289.0638942732379
186,-2.732426910496366
187,-375.7143260047656
188,-129.29566560912443
